Language;Category;Number of hours
English;I;600
Afrikaans;I;600
Danish;I;600
Dutch;I;600
French;I;600
Italian;I;600
Norwegian;I;600
Portuguese;I;600
Romanian;I;600
Spanish;I;600
Swedish;I;600
German;II;750
Indonesian;III;900
Malaysian;III;900
Swahili;III;900
Albanian;IV;1100
Amharic;IV;1100
Armenian;IV;1100
Azerbaijani;IV;1100
Bengali;IV;1100
Bosnian;IV;1100
Bulgarian;IV;1100
Burmese;IV;1100
Croatian;IV;1100
Czech;IV;1100
Estonian;IV;1100
Finnish;IV;1100
Georgian;IV;1100
Greek;IV;1100
Hebrew;IV;1100
Hindi;IV;1100
Hungarian;IV;1100
Icelandic;IV;1100
Khmer;IV;1100
Lao;IV;1100
Latvian;IV;1100
Lithuanian;IV;1100
Macedonian;IV;1100
Mongolian;IV;1100
Nepali;IV;1100
Pashto;IV;1100
Persian;IV;1100
Polish;IV;1100
Russian;IV;1100
Serbian;IV;1100
Sinhala;IV;1100
Slovak;IV;1100
Slovenian;IV;1100
Tagalog;IV;1100
Thai;IV;1100
Thurkish;IV;1100
Ukrainian;IV;1100
Urdu;IV;1100
Uzbek;IV;1100
Vietnamese;IV;1100
Xhosa;IV;1100
Zulu;IV;1100
Arabic;V;2200
Japanese;V;2200
Korean;V;2200
Chinese;V;2200
